"Date","Title","Artist","Peak_Position","Broad_Genre","Energy","Tempo","Danceability","Year","Rank","Valence","Rank_Group"
"4/1/17","Chanel","frank ocean",72,"R&B","0.503","110.134","0.776",2017,72,"0.473","51-75"
"4/1/17","Liability","lorde",78,"Pop","0.214","75.751","0.608",2017,78,"0.331","76-100"
"3/4/17","Starving","hailee steinfeld",12,"Pop","0.62","99.953","0.712",2017,40,"0.494","11 - 25"
"3/4/17","Juju On That Beat (TZ Anthem)","zay hilfigerrr",5,"Rap","0.887","160.517","0.807",2017,48,"0.78","1 - 10"
"3/4/17","Wanna Be That Song","brett eldredge",46,"Country","unknown","unknown","unknown",2017,90,"unknown","26-50"
"3/4/17","Sex With Me","rihanna",83,"R&B","0.539","112.006","0.619",2017,95,"0.39","76-100"
"3/4/17","Some Kind Of Drug","g-eazy",97,"Rap","0.525","126.51","0.586",2017,97,"0.491","76-100"
"3/4/17","Bom Bidi Bom","nick jonas",54,"Pop","0.511","86.995","0.71",2017,54,"0.183","51-75"
"3/4/17","Helium","sia",71,"Pop","0.587","136.915","0.542",2017,71,"0.243","51-75"
"3/4/17","Heroe Favorito","romeo santos",77,"Pop","0.655","128.038","0.799",2017,77,"0.82","76-100"
"3/4/17","Everything 1K","kodak black",84,"Rap","0.61","135.498","0.517",2017,84,"0.163","76-100"
"3/25/17","Side To Side","ariana grande",4,"Pop","0.728","159.167","0.65",2017,50,"0.619","1 - 10"
"3/25/17","All Time Low","jon bellion",16,"Pop","0.569","89.779","0.584",2017,45,"0.501","11 - 25"
"3/25/17","Star Of The Show","thomas rhett",45,"Country","0.624","101.988","0.691",2017,99,"0.662","26-50"
"3/25/17","Used To This","future",14,"Rap","0.727","164.992","0.618",2017,91,"0.401","11 - 25"
"3/25/17","A Guy With A Girl","blake shelton",42,"Country","0.893","163.948","0.552",2017,100,"0.777","26-50"
"3/25/17","How Would You Feel (Paean)","ed sheeran",41,"Pop","0.439","139.979","0.617",2017,84,"0.242","26-50"
"3/25/17","New Man","ed sheeran",72,"Pop","0.745","94.026","0.78",2017,72,"0.862","51-75"
